,song_id,up_votes/total_votes,up_votes,down_votes,difficulty,notes,bombs,BPM,obstacles,NJS,NJSOffset,length,duration
0,33601.0,0.9673469387755103,237.0,8.0,4.0,888.0,22.0,144.0,18.0,19.0,0.0,148.0,355.6351318359375
1,33602.0,0.6,3.0,2.0,1.0,664.0,7.0,125.0,12.0,12.0,0.0,213.0,444.0
2,33603.0,0.9655172413793104,28.0,1.0,2.0,1111.0,12.0,126.0,71.0,13.0,0.10000000149011612,242.0,509.9516906738281
3,33605.0,0.7058823529411765,12.0,5.0,3.0,1446.0,203.0,190.0,223.0,16.0,0.0,267.0,848.25
4,33605.0,0.7058823529411765,12.0,5.0,4.0,1763.0,203.0,190.0,223.0,20.0,0.0,267.0,848.25
5,33608.0,0.875,21.0,3.0,0.0,519.0,0.0,180.0,2.0,20.0,-0.20000000298023224,18.0,56.21875
6,33611.0,0.8846153846153846,23.0,3.0,4.0,596.0,240.0,128.0,122.0,20.0,1.0,116.0,248.33067321777344
7,33611.0,0.8846153846153846,23.0,3.0,2.0,448.0,240.0,128.0,114.0,16.0,0.0,116.0,248.33067321777344
8,33612.0,0.92,46.0,4.0,4.0,1114.0,4.0,172.0,15.0,18.0,-0.30000001192092896,128.0,367.5
9,33613.0,0.9090909090909091,10.0,1.0,2.0,484.0,6.0,77.0,8.0,12.0,0.0,158.0,203.50384521484375
10,33614.0,0.9602649006622517,290.0,12.0,3.0,625.0,130.0,128.01800537109375,33.0,13.0,0.0,179.0,384.0
11,33615.0,0.926829268292683,38.0,3.0,4.0,1211.0,0.0,191.9340057373047,1.0,16.0,0.5,253.0,810.125
12,33616.0,0.0,0.0,3.0,4.0,409.0,0.0,90.0,20.0,18.0,0.0,151.0,227.609375
13,33618.0,0.9326923076923077,97.0,7.0,4.0,60.0,0.0,120.0,0.0,18.0,0.0,31.0,63.0625
14,33620.0,0.23076923076923078,3.0,10.0,2.0,181.0,0.0,140.0,1.0,18.0,0.0,42.0,100.0
15,33626.0,0.5555555555555556,5.0,4.0,3.0,754.0,8.0,122.0,8.0,12.0,0.0,161.0,328.4312744140625
16,33628.0,0.0,0.0,6.0,4.0,2132.0,59.0,170.0,8.0,24.0,0.0,275.0,780.4500122070312
17,33629.0,1.0,2.0,0.0,4.0,331.0,2.0,240.0,4.0,23.0,0.10000000149011612,35.0,142.3125
18,33630.0,1.0,2.0,0.0,3.0,457.0,252.0,93.0,92.0,15.0,0.0,166.0,258.3834533691406
