,song_id,up_votes/total_votes,up_votes,down_votes,difficulty,notes,bombs,BPM,obstacles,NJS,NJSOffset,length,duration
0,33499,0.727272727,8,3,4,4196,0,222.2200012,1,23,0,260,963
1,33500,0.2,9,36,3,538,0,170,0,12,0,145,411.7666931
2,33501,0.8,12,3,4,429,8,186,12,18,0,90,279
3,33503,0.3,3,7,0,336,0,173,0,0,0,288,830.7854614
4,33503,0.3,3,7,3,1548,0,173,10,14,0,288,830.7854614
5,33503,0.3,3,7,4,1603,0,173,10,17,0,288,830.7854614
6,33503,0.3,3,7,2,940,0,173,6,0,0,288,830.7854614
7,33503,0.3,3,7,1,464,0,173,0,0,0,288,830.7854614
8,33504,0.894736842,51,6,4,1358,17,140,87,22,0.200000003,210,492
9,33505,0.933333333,14,1,0,0,0,120,1,18,0,0,0
10,33510,0.944444444,17,1,3,513,0,150,119,18,0,226,566
11,33511,0.923076923,36,3,4,782,120,185,7,19,-0.200000003,117,362.7004089
12,33512,0.571428571,4,3,2,1000,0,124,24,12,0,271,561.1550293
13,33514,0.888888889,8,1,4,397,0,115,6,18,0.5,100,193.5
14,33515,0.233333333,7,23,3,486,0,120,14,12,0,82,165.25
15,33517,0.714285714,15,6,3,611,0,143,0,16,0.300000012,135,323.7492981
16,33519,0.928571429,39,3,4,1375,6,166,7,21,0,250,694.4300537
17,33522,0.964285714,27,1,4,1785,28,180,7,19,0,283,851.25
18,33523,0.869565217,20,3,4,1273,6,193,1,23,-0.349999994,120,388.1286621
19,33524,0.896103896,69,8,4,2000,28,210,70,24,-0.349999994,208,728.8205566
20,33526,0.875,7,1,4,818,0,178,25,17,1,222,660.5
21,33526,0.875,7,1,2,630,0,178,45,13,1,217,644
22,33530,0.473684211,9,10,3,1153,54,150,20,12,0,233,584
23,33530,0.473684211,9,10,4,1347,30,150,20,12,0,233,584.234375
24,33530,0.473684211,9,10,2,805,54,150,20,12,0,233,584.015625
25,33532,0.975609756,120,3,0,0,0,164,0,12,0,0,0
26,33532,0.975609756,120,3,4,769,0,164,54,22,-0.300000012,178,487.1913452
27,33533,1,8,0,3,699,0,210,19,17,0.699999988,183,642.8365479
28,33534,0.814814815,22,5,4,663,0,142,266,19,-0.100000001,136,324.109375
29,33535,0.84,42,8,4,306,0,272,0,21,0.400000006,44,200
30,33542,0.958333333,115,5,1,148,0,124,2,12,0.5,79,164
31,33543,0.111111111,1,8,4,521,12,90,38,24,0,69,104
32,33544,0.5,1,1,3,745,50,180,55,16,0,160,480.0599976
33,33545,1,35,0,3,860,31,200,46,15,0.5,225,751
34,33546,0.4,2,3,3,573,0,122,47,18,0,161,329.25
35,33548,0.961165049,99,4,3,0,0,140,0,20,0,0,0
36,33548,0.961165049,99,4,4,1544,0,140,0,20,-0.300000012,265,620.166687
37,33550,0.806451613,25,6,3,912,0,164,102,12,0,192,526
38,33551,0.825,33,7,3,1327,12,180,8,16,0,238,715.2340088
39,33557,0,0,4,3,362,0,120,0,10,0,87,174.75
40,33558,0.9,9,1,3,886,18,125.5,0,14,0,214,449.1150513
41,33558,0.9,9,1,4,964,18,125.5,0,18,-0.400000006,214,449.1150513
42,33559,0.909090909,10,1,4,1204,88,185,0,18,0.5,173,533.6849976
43,33560,0.75,6,2,2,643,112,135.4649963,100,11,0,241,546
44,33562,0.92,23,2,4,1957,82,202,152,22,-0.100000001,298,1005.001648
45,33563,0.666666667,16,8,4,365,0,120,520,22,0,53,106
46,33564,1,1,0,3,716,58,150,40,12,0,153,383.28125
47,33568,0.866666667,26,4,3,455,84,125,260,12,0,185,386.2292175
48,33569,0.714285714,5,2,4,2107,12,120,12,19,0,180,361.5
49,33570,0.5,3,3,3,77,0,85,0,14,0,24,35
50,33570,0.5,3,3,4,101,0,85,0,16,0,24,35
51,33572,0.896551724,52,6,4,1852,64,260,2,21,0.25,211,917.2416382
52,33573,0.966942149,117,4,3,580,0,147,116,15,0,196,481.6570129
53,33573,0.966942149,117,4,4,648,0,147,113,19,-0.100000001,196,481.6570129
54,33573,0.966942149,117,4,2,373,0,147,127,13,0,196,481.6570129
55,33576,1,50,0,3,677,10,130,41,16,0.25,201,435.8959961
56,33576,1,50,0,4,858,5,130,38,20,1,201,435.8959961
57,33576,1,50,0,2,463,13,130,41,10,1,201,435.8959961
58,33576,1,50,0,1,389,10,130,41,10,1,201,435.8959961
59,33581,0.846153846,11,2,3,992,104,75,120,18,0.300000012,297,372
60,33582,0.825396825,52,11,3,386,0,125.0999985,26,16,0,99,208.1809998
61,33583,1,7,0,3,566,20,123,31,18,-0.300000012,172,354.375
62,33584,0.5,3,3,3,166,0,137,7,15,0,52,120.5
63,33585,0.708333333,17,7,3,3969,325,208.8000031,126,18,0.200000003,251,875.250061
64,33585,0.708333333,17,7,4,4413,325,208.8000031,126,18,0.200000003,251,875.250061
65,33586,0.833333333,5,1,4,972,0,180,4,22,-0.300000012,109,329
66,33587,0.866666667,13,2,2,251,34,160,15,12,0,75,200
67,33589,0.666666667,2,1,4,46,186,61,13,10,0,27,27.74603271
68,33592,0.84939759,141,25,0,225,0,170,68,6,0,221,627.1875
69,33592,0.84939759,141,25,3,690,20,170,106,14,0,221,626.875
70,33592,0.84939759,141,25,2,607,24,170,80,11,0,221,626.875
71,33592,0.84939759,141,25,1,400,0,170,71,9,0,221,626.875
72,33593,0.944099379,152,9,0,274,400,125,42,11,1,240,500
73,33593,0.944099379,152,9,3,938,0,125,41,16,-0.25,240,500
74,33593,0.944099379,152,9,4,1348,0,125,0,19,0.5,240,500
75,33593,0.944099379,152,9,2,606,0,125,8,14,0.25,240,500
76,33593,0.944099379,152,9,1,442,400,125,0,13,0.5,240,500
77,33594,0.94,94,6,3,1081,24,138,34,16,0,220,506.6149902
78,33595,0.967741935,30,1,3,1049,14,190,67,14,-0.5,252,798.999939
79,33595,0.967741935,30,1,4,1896,0,190,19,19,0.125,252,799.5001831
80,33596,0.875,14,2,3,495,50,170,39,15,0,126,359.625
81,33596,0.875,14,2,4,550,50,170,39,16,0,126,359.75
82,33596,0.875,14,2,2,294,30,170,39,13,0,126,359.625
83,33599,0.588235294,10,7,4,10600,61,200,99,20,0,585,1950.381226
84,33536,0.903846154,47,5,0,343,0,147,0,10,2,202,496.2504883
85,33536,0.903846154,47,5,3,680,32,147,18,15,1,202,496.2504883
86,33536,0.903846154,47,5,4,835,32,147,21,20,1.200000048,202,496.2504883
87,33536,0.903846154,47,5,2,515,41,147,18,12,0,202,496.2504883
88,33536,0.903846154,47,5,1,356,0,147,0,12,0.5,202,496.2504883
89,33538,0.666666667,4,2,3,624,222,165,156,12,0,276,760.7700195
90,33539,1,9,0,4,1265,0,180,0,23,-0.400000006,226,678
91,33540,0.947368421,18,1,3,451,0,120.0159988,0,24,0.200000003,71,144
92,33540,0.947368421,18,1,4,449,0,120.0159988,0,24,0.100000001,71,144
93,33541,0.9,27,3,4,181,23,164,7,25,0.400000006,32,87.5
94,33542,0.958333333,115,5,0,114,0,124,2,10,1,79,164
95,33542,0.958333333,115,5,3,306,4,124,3,16,-0.25,79,164
96,33542,0.958333333,115,5,4,404,0,124,4,18,-0.5,79,164
97,33542,0.958333333,115,5,2,237,0,124,3,14,0,79,164
